Price,Brand,RAM,SSD_Storage,Color,Processor,OS,Rating
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"79,990",Acer,16GB,512.0,Grey,,Windows,
"45,490",Dell,8GB,,Black,Intel,Windows,4.1
"51,990",HP,8GB,512.0,Silver,Intel,Windows,4.1
"53,990",ASUS,8GB,,Blue,Intel,Windows,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"94,990",Lenovo,16GB,512.0,Grey,Intel,Windows,5.0
"67,439",HP,16GB,1024.0,Glacier,Snapdragon,Windows,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"25,990",Primebook,8GB,,Gray,MediaTek,Android,4.4
,More,,,,,,
"59,990",ASUS,16GB,512.0,Blue,Intel,Windows,4.2
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"78,990",HP,6GB,512.0,Blue,AMD,Windows,4.1
"38,990",Acer,12GB,512.0,Silver,Intel,Windows,3.3
"49,990",HP,8GB,512.0,Silver,Intel,Windows,4.2
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"54,990",HP,16GB,512.0,Silver,AMD,Windows,4.0
267,BKN,,,,,,4.2
,More,,,,,,
"63,990",Apple,8GB,256.0,Silver,,MacOS,4.8
"44,999",Lenovo,8GB,512.0,Silver,AMD,Windows,4.0
"16,990",EBook,4GB,,Black,Celeron,Windows,3.4
"70,490",Dell,16GB,1024.0,Silver,Intel,Windows,3.8
"65,000",Apple,8GB,256.0,Indigo,,MacOS,4.8
"65,990",MSI,16GB,,Gray,AMD,Windows,4.5
"37,490",Unknown,8GB,256.0,,,Windows,5.0
"87,990",Lenovo,24GB,1024.0,Grey,AMD,Windows,3.6
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"1,799",COSMUS,,,,,,4.3
,Related,,,,,,
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"58,990",Dell,16GB,512.0,Silver,AMD,Windows,3.5
"79,990",HP,16GB,512.0,Silver,Snapdragon,Windows,4.2
"64,490",HP,16GB,512.0,Silver,Intel,Windows,3.7
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"67,439",HP,16GB,1024.0,Glacier,Snapdragon,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"25,990",Primebook,8GB,,Gray,MediaTek,Android,4.4
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
,More,,,,,,
"41,990",Acer,8GB,256.0,Gray,AMD,Windows,
"63,990",HP,16GB,512.0,Silver,AMD,Windows,4.8
"54,790",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
"30,990",ASUS,8GB,128.0,Grey,Intel,Chrome OS,2.7
"50,990",ASUS,16GB,512.0,Black,AMD,Windows,4.2
"79,990",Acer,16GB,512.0,Grey,,Windows,
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"1,10,300",Apple,16GB,512.0,Blue,,MacOS,4.8
"79,490",Dell,6GB,1024.0,Grey,Intel,Windows,4.0
"47,500",HP,,512.0,Silver,AMD,,4.2
"18,990",Lenovo,4GB,,Blue,Intel,Chrome OS,3.9
"77,990",ASUS,4GB,1024.0,Black,AMD,,4.2
"47,490",HP,8GB,512.0,Silver,Intel,,3.0
"64,260",Lenovo,16GB,512.0,Grey,Intel,Windows,4.5
"47,890",HP,DDR5,512.0,Silver,AMD,Windows,
"68,990",HP,24GB,1024.0,Silver,AMD,Windows,4.9
"87,990",Lenovo,24GB,1024.0,Grey,AMD,Windows,3.6
"1,799",COSMUS,,,,,,4.3
,Related,,,,,,
,Need,,,,,,
"53,990",Acer,12GB,512.0,Silver,Intel,Windows,4.0
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"65,990",HP,16GB,512.0,Silver,Intel,Windows,3.9
"67,990",ASUS,16GB,512.0,Silver,Intel,Windows,4.4
"82,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"79,990",Highly,,,,,,4.2
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"67,439",HP,16GB,1024.0,Glacier,Snapdragon,Windows,4.2
"61,990",Lenovo,16GB,512.0,,AMD,Windows,4.1
"52,690",HP,12GB,512.0,Silver,Intel,Windows,4.2
"78,490",Lenovo,16GB,512.0,Grey,AMD,Windows,4.0
,More,,,,,,
"67,990",HP,4GB,512.0,Silver,AMD,Windows,4.2
"51,990",ASUS,12GB,512.0,Blue,Intel,Windows,4.3
"75,990",ASUS,16GB,1024.0,Silver,AMD,Windows,4.0
"87,989",HP,6GB,512.0,Silver,Intel,Windows,4.2
